Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-MTAB-8483	Stromal evolution of cancer-associated fibroblasts in PDAC GEMMs	RNA-seq of coding RNA from single cells	Mus musculus	8	2019-10-31	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8483/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8483/
E-MTAB-8383	Single cell study of neural stem cells derived from human iPSCs reveal distinct progenitor populations with neurogenic and gliogenic potential (3)	RNA-seq of coding RNA from single cells	Homo sapiens	593	2019-10-24	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8383/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8383/
E-MTAB-8379	Single cell study of neural stem cells derived from human iPSCs reveal distinct progenitor populations with neurogenic and gliogenic potential (2)	RNA-seq of coding RNA from single cells	Homo sapiens	768	2019-10-24	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8379/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8379/
E-MTAB-8363	Single cell study of neural stem cells derived from human iPSCs reveal distinct progenitor populations with neurogenic and gliogenic potential (1)	RNA-seq of coding RNA from single cells	Homo sapiens	1380	2019-10-24	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8363/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8363/
E-MTAB-8105	Single cell RNA-seq of medullary thymic epithelial cells (mTEC)	RNA-seq of coding RNA from single cells	Mus musculus	20	2019-10-17	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8105/E-MTAB-8105.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8105/
E-MTAB-8360	Ontogenic changes in hematopoietic hierarchy determine pediatric specificity and disease phenotype in fusion oncogene-driven myeloid leukemia - scRNAseq - 2	RNA-seq of coding RNA from single cells	Mus musculus	284	2019-10-15	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8360/
E-MTAB-7407	Human fetal liver, skin and kidney single cell transcriptome data	RNA-seq of coding RNA from single cells	Homo sapiens	80	2019-10-11	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7407/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7407/
E-MTAB-8234	Single cell RNA-seq of great ape cerebral organoids	RNA-seq of coding RNA from single cells	Homo sapiens, Macaca nemestrina, Pan paniscus, Pan troglodytes, Pongo abelii	818	2019-10-04	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8234/
E-MTAB-8230	Single-nucleus RNA-seq of prefrontal cortex in adult human, chimp and macaque	RNA-seq of coding RNA from single cells	mixed sample	15	2019-10-04	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8230/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8230/
E-MTAB-8212	The effect of anti-HER2/CD3 TDB on transcription in human PBMCs (single-cell)	RNA-seq of coding RNA from single cells	Homo sapiens	4	2019-09-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8212/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8212/
E-MTAB-7316	Single cell RNA-seq of adult human neural retina	RNA-seq of coding RNA from single cells	Homo sapiens	5	2019-08-21	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7316/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7316/
E-MTAB-6678	Reconstructing the human first trimester fetal-maternal interface using single cell transcriptomics - Smartseq 2 data	RNA-seq of coding RNA from single cells	Homo sapiens	7598	2019-08-21	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6678/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6678/
E-MTAB-7901	Single-cell transcriptional profiling of induced reprogramming trajectories	RNA-seq of coding RNA from single cells	Mus musculus	1009	2019-08-16	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7901/
E-MTAB-6879	Single cell RNA-seq of Stmn1+ isthmal cells and Pgc+ chief cells to compare and characterize distinct gastric corpus stem cells at molecular level	RNA-seq of coding RNA from single cells	Mus musculus	1920	2019-08-14	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6879/E-MTAB-6879.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6879/
E-MTAB-8207	Context-specific regulation of monocyte surface IL7R expression and soluble receptor secretion by a common autoimmune risk allele	RNA-seq of coding RNA from single cells	Homo sapiens	21	2019-08-12	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8207/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8207/
E-MTAB-8192	On the discovery of population-specific state transitions from single-cell RNA sequencing data	RNA-seq of coding RNA from single cells	Mus musculus	8	2019-08-11	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8192/
E-MTAB-7678	scRNA-seq analysis of lung CD64-expressing mononuclear cells, patrolling and classical monocytes from steady-state C57BL/6J mice	RNA-seq of coding RNA from single cells	Mus musculus	16	2019-07-31	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7678/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7678/
E-MTAB-7694	Single-cell RNA-seq (smartseq2) of mouse T cells during N.Brasiliensis infection, and RORA KO	RNA-seq of coding RNA from single cells	Mus musculus	2188	2019-07-28	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7694/
E-MTAB-6902	scRNA-seq analysis of lung neutrophils from mice, 24 hours after intranasal exposure to vehicle, 100 ng LPS and 10 µg LPS	RNA-seq of coding RNA from single cells	Mus musculus	12	2019-07-25	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6902/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6902/
E-MTAB-7744	Single cell experiment with iPS derived neural stem cells and 28 day differentiated neuronal cells from healthy individual and NRXN1-a biallelic deletion individual	RNA-seq of coding RNA from single cells	Homo sapiens	984	2019-07-20	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7744/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7744/
E-MTAB-7704	Single cell RNA-seq of metabolite specific T-cells (MR1-restricted) from adult mouse thymus	RNA-seq of coding RNA from single cells	Mus musculus	3	2019-07-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7704/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7704/
E-MTAB-8034	Single Cell RNAseq from IL6R deficient patient and healthy parent	RNA-seq of coding RNA from single cells	Homo sapiens	8	2019-06-20	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8034/
E-MTAB-7149	Single cell transcriptional profiling of aortic endothelium identifies a hierarchy from endovascular progenitors to differentiated cells	RNA-seq of coding RNA from single cells	Mus musculus	3	2019-05-27	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7149/E-MTAB-7149.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7149/
E-MTAB-6677	scRNA-seq of Mus musculus subcutaneous Lin- cells derived from the subcutaneous adipose stromal vascular fraction	RNA-seq of coding RNA from single cells	Mus musculus	1	2019-05-24	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6677/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6677/
E-MTAB-7311	Single-cell RNA-seq of CD4+ Treg and Tmem cells from different tissues in mouse (Chromium 10x data)	RNA-seq of coding RNA from single cells	Mus musculus	40	2019-05-20	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7311/
E-MTAB-6487	Interferon gene therapy reprograms the leukemia microenvironment inducing protective immunity to multiple tumor antigens	RNA-seq of coding RNA from single cells	Mus musculus	5	2019-05-16	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6487/
E-MTAB-7660	Single-cell RNA seq of mouse proximal small intestine at E16.5	RNA-seq of coding RNA from single cells	Mus musculus	4	2019-05-15	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7660/E-MTAB-7660.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7660/
E-MTAB-6075	Single-cell RNA-seq analysis of LPS- and palmitate-stimulated THP-1 macrophages	RNA-seq of coding RNA from single cells	Homo sapiens	286	2019-05-15	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6075/
E-MTAB-7211	Single cell RNAseq of embryonic stem cells at day1 and day2 of epiblast-like stem cells differentiated states	RNA-seq of coding RNA from single cells	Mus musculus	869	2019-05-13	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7211/
E-MTAB-7919	Single cell RNA-seq profiling of T cells isolated from MC38 mouse tumors	RNA-seq of coding RNA from single cells	Mus musculus	4	2019-05-12	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7919/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7919/
E-MTAB-7918	Single cell TCR-seq of T cells isolated from MC38 mouse tumors	RNA-seq of coding RNA from single cells	Mus musculus	4	2019-05-11	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7918/E-MTAB-7918.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7918/
E-MTAB-6524	Transcriptomic profile of human induced pluripotent stem cells at single cell resolution	RNA-seq of coding RNA from single cells	Homo sapiens	2	2019-05-08	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6524/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6524/
E-MTAB-7716	Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles	RNA-seq of coding RNA from single cells	Xenopus laevis	56	2019-04-23	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7716/E-MTAB-7716.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7716/
E-MTAB-7254	Establishment of Porcine and Human Expanded Potential Stem Cells (Single-Cell RNA-seq)	RNA-seq of coding RNA from single cells	Homo sapiens, Sus scrofa	384	2019-04-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7254/
E-MTAB-7780	Single cell RNA-sequencing of non-erythrocyte splenocytes from control and social defeated C57BL6 mice	RNA-seq of coding RNA from single cells	Mus musculus	8	2019-03-29	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7780/
E-MTAB-7376	Single-cell RNA-seq of mouse cardiac interstitial cells 3 & 7 days after sham or myocardial infarction injury	RNA-seq of coding RNA from single cells	Mus musculus	22	2019-03-28	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7376/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7376/
E-MTAB-7365	Single-cell RNA-seq of Pdgfra+/Sca1+/Cd31- mouse cardiac cells	RNA-seq of coding RNA from single cells	Mus musculus	126	2019-03-28	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7365/E-MTAB-7365.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7365/
E-MTAB-7703	Fibroblastic reticular cells in the spleen - total splenic Stroma cells - single cell RNAseq dataset 2	RNA-seq of coding RNA from single cells	Mus musculus	4	2019-03-27	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7703/
E-MTAB-7094	Origin and differentiation trajectories of fibroblastic reticular cells in the splenic white pulp - single cell RNAseq dataset 1	RNA-seq of coding RNA from single cells	Mus musculus	10	2019-03-27	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7094/
E-MTAB-6987	Single-cell RNA sequencing of VE-Cadherin+ cells isolated from mouse E10.5 aorta-gonad-mesonephros region	RNA-seq of coding RNA from single cells	Mus musculus	96	2019-03-12	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6987/
E-MTAB-7239	Multi-platform single cell transcriptomic profiling as a benchmarking resource	RNA-seq of coding RNA from single cells	Mus musculus	263	2019-03-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7239/
E-MTAB-7606	Single cell RNA seq of influenza tetramer specific CD8+ T cells from baseline, acute and long term memory timepoints	RNA-seq of coding RNA from single cells	Homo sapiens	840	2019-02-18	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7606/
E-MTAB-7008	scRNA-seq to investigate endoderm differentiation from induced human pluripotent stem cells	RNA-seq of coding RNA from single cells	Homo sapiens	1024	2019-02-09	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7008/
E-MTAB-6946	Single-cell RNA sequencing of mouse germ cells	RNA-seq of coding RNA from single cells	Mus musculus	440	2019-01-25	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6946/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6946/
E-MTAB-7381	Single cell RNA sequencing of putative AIRE+ dendritic cells from human paediatric tonsillitis	RNA-seq of coding RNA from single cells	Homo sapiens	384	2019-01-14	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7381/
E-MTAB-7427	Single-cell RNA sequencing reveals a dynamic stromal niche within the evolving tumour microenvironment	RNA-seq of coding RNA from single cells	Mus musculus	6614	2019-01-04	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7427/
E-MTAB-6072	Single-cell RNA-seq of CD4+ Treg and Tmem cells from different tissues in mouse and human	RNA-seq of coding RNA from single cells	Homo sapiens, Mus musculus	4221	2018-12-31	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6072/
E-MTAB-6925	Single cell RNA-sequencing of primary mouse Neural Plate Border Stem Cells	RNA-seq of coding RNA from single cells	Mus Musculus	96	2018-12-20	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6925/E-MTAB-6925.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6925/
E-MTAB-6912	Single cell RNA-sequencing of E8.5 stage embryonic neural tissue from mouse	RNA-seq of coding RNA from single cells	Mus musculus	191	2018-12-20	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6912/E-MTAB-6912.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6912/
E-MTAB-6911	Single cell RNA-sequencing of induced Neural Plate Border Stem Cells	RNA-seq of coding RNA from single cells	Homo sapiens	336	2018-12-20	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6911/E-MTAB-6911.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6911/
E-MTAB-6385	RNA-sequencing for functional prediction of RNAs	RNA-seq of coding RNA from single cells	Mus musculus	598	2018-12-19	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6385/
E-MTAB-7325	Single-cell RNAseq of Tal1 knockout chimeric mouse embryos at embryonic day 8.5 of mouse development	RNA-seq of coding RNA from single cells	Mus musculus	80	2018-12-05	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7325/E-MTAB-7325.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7325/
E-MTAB-7324	Single-cell RNAseq of control chimeric mouse embryos at embryonic days 7.5 and 8.5 of mouse development	RNA-seq of coding RNA from single cells	Mus musculus	120	2018-12-05	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7324/E-MTAB-7324.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7324/
E-MTAB-6970	Single-cell RNA-seq of mouse endothelial cells from three distinct embryonic locations	RNA-seq of coding RNA from single cells	Mus musculus	288	2018-12-05	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6970/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6970/
E-MTAB-6967	Timecourse single-cell RNAseq of whole mouse embryos harvested between days 6.5 and 8.5 of development	RNA-seq of coding RNA from single cells	Mus musculus	2560	2018-12-05	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6967/E-MTAB-6967.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6967/
E-MTAB-7098	Genomic encoding of transcriptional burst kinetics	RNA-seq of coding RNA from single cells	Mus musculus	480	2018-11-30	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7098/
E-MTAB-7320	Single-cell RNA-seq of mouse developing spinal cord	RNA-seq of coding RNA from single cells	Mus musculus	23	2018-11-29	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7320/E-MTAB-7320.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7320/
E-MTAB-7159	Single-cell transcriptional analysis reveals ILC-like cells in zebrafish	RNA-seq of coding RNA from single cells	Danio rerio	4	2018-11-16	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7159/
E-MTAB-7117	Single-cell transcriptional analysis reveals innate lymphoid cell (ILC)-like cells in zebrafish	RNA-seq of coding RNA from single cells	Danio rerio	1056	2018-11-16	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7117/
E-MTAB-6825	Single-cell phenotyping and RNA sequencing reveal novel patterns of gene expression heterogeneity and regulation during growth and stress adaptation in a unicellular eukaryote	RNA-seq of coding RNA from single cells	Schizosaccharomyces pombe	2806	2018-11-14	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6825/
E-MTAB-7417	Single cell RNA-seq of mouse skin cells	RNA-seq of coding RNA from single cells	Mus musculus	2	2018-11-11	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7417/
E-MTAB-6945	Single-cell analysis of T-cells from mouse neonate thymuses in a wild type control and a placental specific isoform of Igf2 knock-down (igf2-P0)	RNA-seq of coding RNA from single cells	Mus musculus	7	2018-11-06	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6945/
E-MTAB-7078	Single-cell RNA sequencing of marmoset embryonic development	RNA-seq of coding RNA from single cells	Callithrix jacchus	196	2018-11-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7078/
E-MTAB-7195	Single-cell RNA-seq on Drosophila melanogaster wild type third instar eye discs	RNA-seq of coding RNA from single cells	Drosophila melanogaster	11	2018-10-29	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7195/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7195/
E-MTAB-7142	Drop-seq analysis of bleomycin-treated and control mouse lung single-cell suspensions	RNA-seq of coding RNA from single cells	Mus musculus	10	2018-10-25	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7142/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7142/
E-MTAB-7303	Single cell sequencing of iPSC-dopamine neurons reconstructs disease progression and identifies HDAC4 as a regulator of Parkinson cell phenotypes	RNA-seq of coding RNA from single cells	Homo sapiens	568	2018-10-17	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7303/
E-MTAB-6268	Single cell sequencing of 43,168 cells during the differentiation from human induced pluripotent stem cells to cardiomyocytes	RNA-seq of coding RNA from single cells	Homo sapiens	10	2018-10-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6268/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6268/
E-MTAB-6701	Reconstructing the human first trimester fetal-maternal interface using single cell transcriptomics - 10x data	RNA-seq of coding RNA from single cells	Homo sapiens	30	2018-10-02	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6701/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6701/
E-MTAB-6362	Single-cell RNA-seq of mouse embryonic stem cells to study the genomic encoding of transcriptional burst kinetics	RNA-seq of coding RNA from single cells	Mus musculus	609	2018-09-30	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6362/E-MTAB-6362.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6362/
E-MTAB-7194	Single-cell RNA-seq profiling of Drosophila melanogaster Rbf mutant third instar eye discs	RNA-seq of coding RNA from single cells	Drosophila melanogaster	10	2018-09-27	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7194/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7194/
E-MTAB-6077	Determining single-cell mRNA expression profiles of a specific population isolated from zebrafish embryos at 10 hours post fertilization	RNA-seq of coding RNA from single cells	Danio rerio	102	2018-08-20	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6077/
E-MTAB-6653	Single cell sequencing of 3 lung carcinomas	RNA-seq of coding RNA from single cells	Homo sapiens	12	2018-08-18	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6653/
E-MTAB-6687	Single cell RNA-seq of WTC-CRISPRi human induced pluripotent stem cells	RNA-seq of coding RNA from single cells	Homo sapiens	5	2018-08-17	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6687/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6687/
E-MTAB-6976	Single-cell RNA sequencing of self-maintaining lamina propria macrophages	RNA-seq of coding RNA from single cells	Mus musculus	1	2018-07-30	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6976/
E-MTAB-6819	Single-cell RNA-seq of naive and primed human embryonic stem cells	RNA-seq of coding RNA from single cells	Homo sapiens	2687	2018-07-26	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6819/E-MTAB-6819.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6819/
E-MTAB-7052	Single-cell RNA-seq of of human dermal fibroblasts (supplementary - different stimulation conditions of dsRNA)	RNA-seq of coding RNA from single cells	Homo sapiens	1920	2018-07-16	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7052/E-MTAB-7052.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7052/
E-MTAB-7051	Single-cell RNA-seq of dermal fibroblasts (5 human individuals - IFNB stimulation)	RNA-seq of coding RNA from single cells	Homo sapiens	681	2018-07-16	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7051/E-MTAB-7051.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7051/
E-MTAB-7037	Single-cell RNA-seq of of dermal fibroblasts (supplementary - human fibroblasts stimulation with dsRNA)	RNA-seq of coding RNA from single cells	Homo sapiens	590	2018-07-16	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7037/E-MTAB-7037.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7037/
E-MTAB-6754	Single-cell RNA-seq of of bone marrow derived mononuclear phagocytes derived from mouse; rat; rabbit or pig	RNA-seq of coding RNA from single cells	Mus musculus, Oryctolagus cuniculus, Rattus norvegicus, Sus scrofa	68	2018-07-16	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6754/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6754/
E-HCAD-18	Single cell sequencing of developing heart valves identifies novel cell populations and uncovers interstitial cell heterogeneity	RNA-seq of coding RNA from single cells	Mus musculus	2	2018-07-13	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-HCAD-18/
E-MTAB-6429	Massively parallel single-cell RNA-sequencing of K14E7 transgenic and wildtype C57BL/6 mice	RNA-seq of coding RNA from single cells	Mus musculus	4	2018-07-09	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6429/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6429/
E-MTAB-6149	Single cell sequencing of lung carcinoma	RNA-seq of coding RNA from single cells	Homo sapiens	19	2018-07-09	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6149/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6149/
E-MTAB-6831	Single-cell RNA-seq of ex vivo CD45-negative skin resident-cells using microfluidic droplet capture	RNA-seq of coding RNA from single cells	Homo sapiens	8	2018-07-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6831/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6831/
E-MTAB-6066	Single-cell RNA-seq of dermal fibroblasts stimulated with dsRNA (poly I:C) in a time course of 0, 4 and 8 hours	RNA-seq of coding RNA from single cells	Homo sapiens, Macaca mulatta, Mus musculus, Rattus norvegicus	240	2018-07-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6066/E-MTAB-6066.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6066/
E-MTAB-5989	Single-cell RNA-seq of of dermal fibroblasts using microfluidic droplet capture (stimulated cells)	RNA-seq of coding RNA from single cells	Homo sapiens	2130	2018-07-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5989/E-MTAB-5989.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5989/
E-MTAB-5988	Single-cell RNA-seq of of dermal fibroblasts using microfluidic droplet capture (unstimulated cells)	RNA-seq of coding RNA from single cells	Homo sapiens	2553	2018-07-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5988/E-MTAB-5988.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5988/
E-MTAB-5920	Single-cell RNA-seq of dermal fibroblasts stimulated with dsRNA (poly I:C) in a time course of 0, 2, 4 and 8 hours	RNA-seq of coding RNA from single cells	Homo sapiens, Macaca mulatta, Mus musculus, Rattus norvegicus	1180	2018-07-06	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5920/
E-MTAB-6854	Single-cell RNA-seq data of mammary gland epithelial cells from different gestational stages to detect and remove barcode swapping	RNA-seq of coding RNA from single cells	Mus musculus	160	2018-06-25	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6854/E-MTAB-6854.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6854/
E-MTAB-6051	Single-cell RNA sequencing of OT-I CD8+ T cells after stimulation with different affinity ligands	RNA-seq of coding RNA from single cells	Mus musculus	952	2018-06-25	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6051/E-MTAB-6051.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6051/
E-MTAB-6386	Single cell RNA-sequencing of PBMC derived B cells from human healthy donor	RNA-seq of coding RNA from single cells	Homo sapiens	117	2018-06-22	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6386/
